"cc_iso3c","cc_name_long","cc_name_short","un_m49","unicode_flag","cc_status","cc_ascii","cc_grep"
"DZA","Algeria","Algeria",12,"🇩🇿","UN member","Algeria","algeria"
"EAZ","Zanzibar","Zanzibar",,,"User assigned code","Zanzibar","zanzibar"
"ECU","Ecuador","Ecuador",218,"🇪🇨","UN member","Ecuador","ecuador"
"EGY","Egypt","Egypt",818,"🇪🇬","UN member","Egypt","egypt"
"ERI","Eritrea","Eritrea",232,"🇪🇷","UN member","Eritrea","eritrea"
"ESH","Western Sahara","Western Sahara",732,"🇪🇭","Other ISO 3166-1 assigned or reserved entity","Western Sahara","western sahara"
"ESP","Spain","Spain",724,"🇪🇸","UN member","Spain","spain"
"EST","Estonia","Estonia",233,"🇪🇪","UN member","Estonia","estonia"
"ETH","Ethiopia","Ethiopia",231,"🇪🇹","UN member","Ethiopia","ethiopia"
"FIN","Finland","Finland",246,"🇫🇮","UN member","Finland","finland"
"FJI","Fiji","Fiji",242,"🇫🇯","UN member","Fiji","fiji"
"FLK","Falkland Islands","Falkland Islands",238,"🇫🇰","Other ISO 3166-1 assigned or reserved entity","Falkland Islands","falkland islands"
"FRA","France","France",250,"🇫🇷","UN member","France","france"
"FRO","Faroe Islands","Faroe Islands",234,"🇫🇴","Other ISO 3166-1 assigned or reserved entity","Faroe Islands","faroe islands"
"FSM","Micronesia (Federated States of)","Micronesia",583,"🇫🇲","UN member","Micronesia","micronesia"
"GAB","Gabon","Gabon",266,"🇬🇦","UN member","Gabon","gabon"
"GBR","United Kingdom of Great Britain and Northern Ireland","United Kingdom",826,"🇬🇧","UN member","United Kingdom","united kingdom uk"
"GEO","Georgia","Georgia",268,"🇬🇪","UN member","Georgia","georgia"
"GGY","Guernsey","Guernsey",831,"🇬🇬","Other ISO 3166-1 assigned or reserved entity","Guernsey","guernsey"
"GHA","Ghana","Ghana",288,"🇬🇭","UN member","Ghana","ghana"
"GIB","Gibraltar","Gibraltar",292,"🇬🇮","Other ISO 3166-1 assigned or reserved entity","Gibraltar","gibraltar"
"GIN","Guinea","Guinea",324,"🇬🇳","UN member","Guinea","guinea"
"GLP","Guadeloupe","Guadeloupe",312,"🇬🇵","Other ISO 3166-1 assigned or reserved entity","Guadeloupe","guadeloupe"
